"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1016","","6201521","ليبيا","লিবিয়া","Libyen","Libya","Libia","Libye","Λιβύη","लीबिया","Líbia","Libya","Libia","リビア","리비아","Libië","Libia","Líbia","Ливия","Libyen","Libya","Libya","利比亚"
"Q1019","","22924851","مدغشقر","মাদাগাস্কার","Madagaskar","Madagascar","Madagascar","Madagascar","Μαδαγασκάρη","मेडागास्कर","Madagaszkár","Madagaskar","Madagascar","マダガスカル","마다가스카르","Madagaskar","Madagaskar","Madagáscar","Мадагаскар","Madagaskar","Madagaskar","Madagascar","马达加斯加"
"Q1020","","16362567","مالاوي","মালাউই","Malawi","Malawi","Malaui","Malawi","Μαλάουι","मलावी","Malawi","Malawi","Malawi","マラウイ","말라위","Malawi","Malawi","Malawi","Малави","Malawi","Malavi","Malawi","马拉维"
"Q1028","","33008150","المغرب","মরক্কো","Marokko","Morocco","Marruecos","Maroc","Μαρόκο","मोरक्को","Marokkó","Maroko","Marocco","モロッコ","모로코","Marokko","Maroko","Marrocos","Марокко","Marocko","Fas","Maroc","摩洛哥"
"Q1025","","3889880","موريتانيا","মৌরিতানিয়া","Mauretanien","Mauritania","Mauritania","Mauritanie","Μαυριτανία","मॉरीतानिया","Mauritánia","Mauritania","Mauritania","モーリタニア","모리타니","Mauritanië","Mauretania","Mauritânia","Мавритания","Mauretanien","Moritanya","Mauritanie","毛里塔尼亚"
"Q1029","","25833752","موزمبيق","মোজাম্বিক","Mosambik","Mozambique","Mozambique","Mozambique","Μοζαμβίκη","मोज़ाम्बीक","Mozambik","Mozambik","Mozambico","モザンビーク","모잠비크","Mozambique","Mozambik","Moçambique","Мозамбик","Moçambique","Mozambik","Mozambique","莫桑比克"
"Q1030","","2303315","ناميبيا","নামিবিয়া","Namibia","Namibia","Namibia","Namibie","Ναμίμπια","नामीबिया","Namíbia","Namibia","Namibia","ナミビア","나미비아","Namibië","Namibia","Namíbia","Намибия","Namibia","Namibya","Namibia","纳米比亚"
"Q1032","","17831270","النيجر","নাইজার","Niger","Niger","Níger","Niger","Νίγηρας","नाइजर","Niger","Niger","Niger","ニジェール","니제르","Niger","Niger","Níger","Нигер","Niger","Nijer","Niger","尼日尔"
"Q1033","","182202000","نيجيريا","নাইজেরিয়া","Nigeria","Nigeria","Nigeria","Nigeria","Νιγηρία","नाईजीरिया","Nigéria","Nigeria","Nigeria","ナイジェリア","나이지리아","Nigeria","Nigeria","Nigéria","Нигерия","Nigeria","Nijerya","Nigeria","奈及利亞"
"Q1036","","37578876","أوغندا","উগান্ডা","Uganda","Uganda","Uganda","Ouganda","Ουγκάντα","युगाण्डा","Uganda","Uganda","Uganda","ウガンダ","우간다","Oeganda","Uganda","Uganda","Уганда","Uganda","Uganda","Uganda","乌干达"
"Q1037","","11776522","رواندا","রুয়ান্ডা","Ruanda","Rwanda","Ruanda","Rwanda","Ρουάντα","रवाण्डा","Ruanda","Rwanda","Ruanda","ルワンダ","르완다","Rwanda","Rwanda","Ruanda","Руанда","Rwanda","Ruanda","Rwanda","卢旺达"
"Q1041","","14133280","السنغال","সেনেগাল","Senegal","Senegal","Senegal","Sénégal","Σενεγάλη","सेनेगल","Szenegál","Senegal","Senegal","セネガル","세네갈","Senegal","Senegal","Senegal","Сенегал","Senegal","Senegal","Sénégal","塞内加尔"
"Q1044","","6092075","سيراليون","সিয়েরা লিওন","Sierra Leone","Sierra Leone","Sierra Leona","Sierra Leone","Σιέρα Λεόνε","सिएरा लियोन","Sierra Leone","Sierra Leone","Sierra Leone","シエラレオネ","시에라리온","Sierra Leone","Sierra Leone","Serra Leoa","Сьерра-Леоне","Sierra Leone","Sierra Leone","Sierra Leone","塞拉利昂"
"Q1045","","10495583","الصومال","সোমালিয়া","Somalia","Somalia","Somalia","Somalie","Σομαλία","सोमालिया","Szomália","Somalia","Somalia","ソマリア","소말리아","Somalië","Somalia","Somália","Сомали","Somalia","Somali","Somalia","索马里"
"Q1049","","40235000","السودان","সুদান","Sudan","Sudan","Sudán","Soudan","Σουδάν","सूडान","Szudán","Sudan","Sudan","スーダン","수단","Soedan","Sudan","Sudão","Судан","Sudan","Sudan","Sudan","苏丹共和国"
"Q1050","","1249514","سوازيلاند","সোয়াজিল্যান্ড","Swasiland","Swaziland","eSwatini","Swaziland","Σουαζιλάνδη","स्वाज़ीलैण्ड","Szváziföld","Swaziland","Swaziland","スワジランド","스와질란드","Swaziland","Suazi","eSwatini","Свазиленд","Swaziland","Svaziland","Swaziland","斯威士兰"
"Q1246","","1883018","كوسوفو","কসোভো","Kosovo","Kosovo","Kosovo","Kosovo","Κοσσυφοπέδιο","कोसोवो गणराज्य","Koszovó","Kosovo","Kosovo","コソボ共和国","코소보","Kosovo","Kosowo","Kosovo","Республика Косово","Kosovo","Kosova","Kosovo","科索沃"
"Q6250","","586000","الصحراء الغربية","পশ্চিম সাহারা","Westsahara","Western Sahara","Sahara Occidental","Sahara occidental","Δυτική Σαχάρα","पश्चिमी सहारा","Nyugat-Szahara","Sahara Barat","Sahara Occidentale","西サハラ","서사하라","Westelijke Sahara","Sahara Zachodnia","Saara Ocidental","Западная Сахара","Västsahara","Batı Sahra","Tây Sahara","西撒哈拉"
"Q23681","","313626","قبرص الشمالية","তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র","Türkische Republik Nordzypern","Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord","Τουρκική Δημοκρατία της Βόρειας Κύπρου","उत्तरी साइप्रस","Észak-Ciprus","Republik Turki Siprus Utara","Cipro del Nord","北キプロス・トルコ共和国","북키프로스","Noord-Cyprus","Cypr Północny","República Turca de Chipre do Norte","Турецкая Республика Северного Кипра","Nordcypern","Kuzey Kıbrıs Türk Cumhuriyeti","Bắc Síp","北賽普勒斯土耳其共和國"
"Q165413","","73127","بايكونور","বাইকুনোর","Baikonur","Baikonur","Baikonur","Baïkonour","Μπαϊκονούρ","बायकोनूर","Bajkonur","Baykonur","Bayqoñyr","バイコヌール","바이코누르","Bajkonoer","Bajkonur","Baikonur","Байконур","Bajkonur","Baykonur","Baikonur","拜科努爾"
"Q34754","","4500000","صوماليلاند","সোমালিল্যান্ড","Somaliland","Somaliland","Somalilandia","Somaliland","Σομαλιλάνδη","सोमालीदेश","Szomáliföld","Somaliland","Somaliland","ソマリランド","소말릴란드","Somaliland","Somaliland","Somalilândia","Сомалиленд","Somaliland","Somaliland","Somaliland","索马里兰"
"Q189","","332529","آيسلندا","আইসল্যান্ড","Island","Iceland","Islandia","Islande","Ισλανδία","आइसलैण्ड","Izland","Islandia","Islanda","アイスランド","아이슬란드","IJsland","Islandia","Islândia","Исландия","Island","İzlanda","Iceland","冰岛"
"Q16","","35702707","كندا","কানাডা","Kanada","Canada","Canadá","Canada","Καναδάς","कनाडा","Kanada","Kanada","Canada","カナダ","캐나다","Canada","Kanada","Canadá","Канада","Kanada","Kanada","Canada","加拿大"
"Q17","","127110047","اليابان","জাপান","Japan","Japan","Japón","Japon","Ιαπωνία","जापान","Japán","Jepang","Giappone","日本","일본","Japan","Japonia","Japão","Япония","Japan","Japonya","Nhật Bản","日本"
"Q191","","1315635","إستونيا","এস্তোনিয়া","Estland","Estonia","Estonia","Estonie","Εσθονία","एस्टोनिया","Észtország","Estonia","Estonia","エストニア","에스토니아","Estland","Estonia","Estónia","Эстония","Estland","Estonya","Estonia","爱沙尼亚"
"Q211","","1953000","لاتفيا","লাতভিয়া","Lettland","Latvia","Letonia","Lettonie","Λετονία","लातविया","Lettország","Latvia","Lettonia","ラトビア","라트비아","Letland","Łotwa","Letónia","Латвия","Lettland","Letonya","Latvia","拉脫維亞"
"Q213","","10610055","التشيك","চেক প্রজাতন্ত্র","Tschechien","Czech Republic","República Checa","République tchèque","Τσεχία","चेक गणराज्य","Csehország","Republik Ceko","Repubblica Ceca","チェコ","체코","Tsjechië","Czechy","República Checa","Чехия","Tjeckien","Çek Cumhuriyeti","Cộng hòa Séc","捷克"
"Q212","","42558328","أوكرانيا","ইউক্রেন","Ukraine","Ukraine","Ucrania","Ukraine","Ουκρανία","युक्रेन","Ukrajna","Ukraina","Ucraina","ウクライナ","우크라이나","Oekraïne","Ukraina","Ucrânia","Украина","Ukraina","Ukrayna","Ukraina","乌克兰"
"Q20","","5213985","النرويج","নরওয়ে","Norwegen","Norway","Noruega","Norvège","Νορβηγία","नॉर्वे","Norvégia","Norwegia","Norvegia","ノルウェー","노르웨이","Noorwegen","Norwegia","Noruega","Норвегия","Norge","Norveç","Na Uy","挪威"
"Q28","","9817958","المجر","হাঙ্গেরি","Ungarn","Hungary","Hungría","Hongrie","Ουγγαρία","हंगरी","Magyarország","Hongaria","Ungheria","ハンガリー","헝가리","Hongarije","Węgry","Hungria","Венгрия","Ungern","Macaristan","Hungary","匈牙利"
"Q27","","4588252","جمهورية أيرلندا","প্রজাতন্ত্রী আয়ারল্যান্ড","Irland","Ireland","Irlanda","Irlande","Δημοκρατία της Ιρλανδίας","आयरलैण्ड","Írország","Republik Irlandia","Irlanda","アイルランド","아일랜드","Ierland","Irlandia","República da Irlanda","Ирландия","Irland","İrlanda","Cộng hòa Ireland","爱尔兰共和国"
"Q215","","2062874","سلوفينيا","স্লোভেনিয়া","Slowenien","Slovenia","Eslovenia","Slovénie","Σλοβενία","स्लोवेनिया","Szlovénia","Slovenia","Slovenia","スロベニア","슬로베니아","Slovenië","Słowenia","Eslovénia","Словения","Slovenien","Slovenya","Slovenia","斯洛文尼亚"
"Q29","","46528024","إسبانيا","স্পেন","Spanien","Spain","España","Espagne","Ισπανία","स्पेन","Spanyolország","Spanyol","Spagna","スペイン","스페인","Spanje","Hiszpania","Espanha","Испания","Spanien","İspanya","Tây Ban Nha","西班牙"
"Q217","","2550900","مولدافيا","মলদোভা","Republik Moldau","Moldova","Moldavia","Moldavie","Μολδαβία","मॉल्डोवा","Moldova","Moldova","Moldavia","モルドバ","몰도바","Moldavië","Mołdawia","Moldávia","Молдавия","Moldavien","Moldova","Moldova","摩尔多瓦"
"Q30","","323952889","الولايات المتحدة","মার্কিন যুক্তরাষ্ট্র","Vereinigte Staaten","United States of America","Estados Unidos","États-Unis","Ηνωμένες Πολιτείες Αμερικής","संयुक्त राज्य अमेरिका","Amerikai Egyesült Államok","Amerika Serikat","Stati Uniti d'America","アメリカ合衆国","미국","Verenigde Staten van Amerika","Stany Zjednoczone","Estados Unidos","Соединённые Штаты Америки","USA","Amerika Birleşik Devletleri","Hoa Kỳ","美国"
"Q218","","20147528","رومانيا","রোমানিয়া","Rumänien","Romania","Rumania","Roumanie","Ρουμανία","रोमानिया","Románia","Rumania","Romania","ルーマニア","루마니아","Roemenië","Rumunia","Roménia","Румыния","Rumänien","Romanya","Romania","羅馬尼亞"
"Q258","","55445000","جنوب أفريقيا","দক্ষিণ আফ্রিকা","Südafrika","South Africa","Sudáfrica","Afrique du Sud","Νότια Αφρική","दक्षिण अफ़्रीका","Dél-afrikai Köztársaság","Afrika Selatan","Sudafrica","南アフリカ共和国","남아프리카 공화국","Zuid-Afrika","Południowa Afryka","África do Sul","Южно-Африканская Республика","Sydafrika","Güney Afrika Cumhuriyeti","Cộng hòa Nam Phi","南非"
"Q219","","7265115","بلغاريا","বুলগেরিয়া","Bulgarien","Bulgaria","Bulgaria","Bulgarie","Βουλγαρία","बुल्गारिया","Bulgária","Bulgaria","Bulgaria","ブルガリア","불가리아","Bulgarije","Bułgaria","Bulgária","Болгария","Bulgarien","Bulgaristan","Bulgaria","保加利亚"
"Q31","","11150516","بلجيكا","বেলজিয়াম","Belgien","Belgium","Bélgica","Belgique","Βέλγιο","बेल्जियम","Belgium","Belgia","Belgio","ベルギー","벨기에","België","Belgia","Bélgica","Бельгия","Belgien","Belçika","Bỉ","比利时"
"Q32","","543360","لوكسمبورغ","লুক্সেমবুর্গ","Luxemburg","Luxembourg","Luxemburgo","Luxembourg","Λουξεμβούργο","लक्ज़मबर्ग","Luxemburg","Luksemburg","Lussemburgo","ルクセンブルク","룩셈부르크","Luxemburg","Luksemburg","Luxemburgo","Люксембург","Luxemburg","Lüksemburg","Luxembourg","卢森堡"
"Q34","","9954420","السويد","সুইডেন","Schweden","Sweden","Suecia","Suède","Σουηδία","स्वीडन","Svédország","Swedia","Svezia","スウェーデン","스웨덴","Zweden","Szwecja","Suécia","Швеция","Sverige","İsveç","Thụy Điển","瑞典"
"Q33","","5501043","فنلندا","ফিনল্যান্ড","Finnland","Finland","Finlandia","Finlande","Φινλανδία","फ़िनलैण्ड","Finnország","Finlandia","Finlandia","フィンランド","핀란드","Finland","Finlandia","Finlândia","Финляндия","Finland","Finlandiya","Phần Lan","芬兰"
"Q262","","38813722","الجزائر","আলজেরিয়া","Algerien","Algeria","Argelia","Algérie","Αλγερία","अल्जीरिया","Algéria","Aljazair","Algeria","アルジェリア","알제리","Algerije","Algieria","Argélia","Алжир","Algeriet","Cezayir","Algérie","阿尔及利亚"
"Q265","","31576400","أوزبكستان","উজবেকিস্তান","Usbekistan","Uzbekistan","Uzbekistán","Ouzbékistan","Ουζμπεκιστάν","उज़्बेकिस्तान","Üzbegisztán","Uzbekistan","Uzbekistan","ウズベキスタン","우즈베키스탄","Oezbekistan","Uzbekistan","Usbequistão","Узбекистан","Uzbekistan","Özbekistan","Uzbekistan","乌兹别克斯坦"
"Q35","","5707251","الدنمارك","ডেনমার্ক","Dänemark","Denmark","Dinamarca","Danemark","Δανία","डेनमार्क","Dánia","Denmark","Danimarca","デンマーク","덴마크","Denemarken","Dania","Dinamarca","Дания","Danmark","Danimarka","Đan Mạch","丹麦"
"Q298","","17619708","تشيلي","চিলি","Chile","Chile","Chile","Chili","Χιλή","चिली","Chile","Chili","Cile","チリ","칠레","Chili","Chile","Chile","Чили","Chile","Şili","Chile","智利"
"Q399","","2976566","أرمينيا","আর্মেনিয়া","Armenien","Armenia","Armenia","Arménie","Αρμενία","आर्मीनिया","Örményország","Armenia","Armenia","アルメニア","아르메니아","Armenië","Armenia","Arménia","Армения","Armenien","Ermenistan","Armenia","亞美尼亞"
"Q403","","7041599","صربيا","সার্বিয়া","Serbien","Serbia","Serbia","Serbie","Σερβία","सर्बिया","Szerbia","Serbia","Serbia","セルビア","세르비아","Servië","Serbia","Sérvia","Сербия","Serbien","Sırbistan","Serbia","塞尔维亚"
"Q408","","23401892","أستراليا","অস্ট্রেলিয়া","Australien","Australia","Australia","Australie","Αυστραλία","ऑस्ट्रेलिया","Ausztrália","Australia","Australia","オーストラリア","오스트레일리아","Australië","Australia","Austrália","Австралия","Australien","Avustralya","Úc","澳大利亚"
"Q37","","2810118","ليتوانيا","লিথুয়ানিয়া","Litauen","Lithuania","Lituania","Lituanie","Λιθουανία","लिथुआनिया","Litvánia","Lituania","Lituania","リトアニア","리투아니아","Litouwen","Litwa","Lituânia","Литва","Litauen","Litvanya","Litva","立陶宛"
"Q36","","38454576","بولندا","পোল্যান্ড","Polen","Poland","Polonia","Pologne","Πολωνία","पोलैंड","Lengyelország","Polandia","Polonia","ポーランド","폴란드","Polen","Polska","Polónia","Польша","Polen","Polonya","Ba Lan","波兰"
"Q414","","43417000","الأرجنتين","আর্জেন্টিনা","Argentinien","Argentina","Argentina","Argentine","Αργεντινή","अर्जेण्टीना","Argentína","Argentina","Argentina","アルゼンチン","아르헨티나","Argentinië","Argentyna","Argentina","Аргентина","Argentina","Arjantin","Argentina","阿根廷"
"Q38","","60599936","إيطاليا","ইতালি","Italien","Italy","Italia","Italie","Ιταλία","इटली","Olaszország","Italia","Italia","イタリア","이탈리아","Italië","Włochy","Itália","Италия","Italien","İtalya","Ý","意大利"
"Q419","","30375603","بيرو","পেরু","Peru","Peru","Perú","Pérou","Περού","पेरू","Peru","Peru","Perù","ペルー","페루","Peru","Peru","Peru","Перу","Peru","Peru","Peru","秘鲁"
"Q39","","8211700","سويسرا","সুইজারল্যান্ড","Schweiz","Switzerland","Suiza","Suisse","Ελβετία","स्विट्ज़रलैण्ड","Svájc","Swiss","Svizzera","スイス","스위스","Zwitserland","Szwajcaria","Suíça","Швейцария","Schweiz","İsviçre","Thụy Sĩ","瑞士"
"Q423","","24895480","كوريا الشمالية","উত্তর কোরিয়া","Nordkorea","North Korea","Corea del Norte","Corée du Nord","Βόρεια Κορέα","उत्तर कोरिया","Észak-Korea","Korea Utara","Corea del Nord","朝鮮民主主義人民共和国","조선민주주의인민공화국","Noord-Korea","Korea Północna","Coreia do Norte","Корейская Народно-Демократическая Республика","Nordkorea","Kuzey Kore","Cộng hòa Dân chủ Nhân dân Triều Tiên","朝鲜民主主义人民共和国"
"Q40","","8572895","النمسا","অস্ট্রিয়া","Österreich","Austria","Austria","Autriche","Αυστρία","ऑस्ट्रिया","Ausztria","Austria","Austria","オーストリア","오스트리아","Oostenrijk","Austria","Áustria","Австрия","Österrike","Avusturya","Áo","奥地利"
"Q424","","15135169","كمبوديا","কম্বোডিয়া","Kambodscha","Cambodia","Camboya","Cambodge","Καμπότζη","कम्बोडिया","Kambodzsa","Kamboja","Cambogia","カンボジア","캄보디아","Cambodja","Kambodża","Camboja","Камбоджа","Kambodja","Kamboçya","Campuchia","柬埔寨"
"Q574","","1180069","تيمور الشرقية","পূর্ব তিমুর","Osttimor","East Timor","Timor Oriental","Timor oriental","Ανατολικό Τιμόρ","पूर्वी तिमोर","Kelet-Timor","Timor Leste","Timor Est","東ティモール","동티모르","Oost-Timor","Timor Wschodni","Timor-Leste","Восточный Тимор","Östtimor","Doğu Timor","Đông Timor","东帝汶"
"Q43","","76223639","تركيا","তুরস্ক","Türkei","Turkey","Turquía","Turquie","Τουρκία","तुर्की","Törökország","Turki","Turchia","トルコ","터키","Turkije","Turcja","Turquia","Турция","Turkiet","Türkiye","Thổ Nhĩ Kỳ","土耳其"
"Q41","","10815197","اليونان","গ্রিস","Griechenland","Greece","Grecia","Grèce","Ελλάδα","यूनान","Görögország","Yunani","Grecia","ギリシャ","그리스","Griekenland","Grecja","Grécia","Греция","Grekland","Yunanistan","Hy Lạp","希腊"
"Q657","","12825314","تشاد","চাদ","Tschad","Chad","Chad","Tchad","Τσαντ","चाड","Csád","Chad","Ciad","チャド","차드","Tsjaad","Czad","Chade","Чад","Tchad","Çad","Tchad","乍得"
"Q45","","10457295","البرتغال","পর্তুগাল","Portugal","Portugal","Portugal","Portugal","Πορτογαλία","पुर्तगाल","Portugália","Portugal","Portogallo","ポルトガル","포르투갈","Portugal","Portugalia","Portugal","Португалия","Portugal","Portekiz","Bồ Đào Nha","葡萄牙"
"Q668","","1339180127","الهند","ভারত","Indien","India","India","Inde","Ινδία","भारत","India","India","India","インド","인도","India","Indie","Índia","Индия","Indien","Hindistan","Ấn Độ","印度"
"Q664","","4793700","نيوزيلندا","নিউজিল্যান্ড","Neuseeland","New Zealand","Nueva Zelanda","Nouvelle-Zélande","Νέα Ζηλανδία","न्यूज़ीलैण्ड","Új-Zéland","Selandia Baru","Nuova Zelanda","ニュージーランド","뉴질랜드","Nieuw-Zeeland","Nowa Zelandia","Nova Zelândia","Новая Зеландия","Nya Zeeland","Yeni Zelanda","New Zealand","新西兰"
"Q55","","17000000","هولندا","নেদারল্যান্ডস","Niederlande","Netherlands","Países Bajos","Pays-Bas","Ολλανδία","नीदरलैण्ड","Hollandia","Belanda","Paesi Bassi","オランダ","네덜란드","Nederland","Holandia","Países Baixos","Нидерланды","Nederländerna","Hollanda","Hà Lan","荷蘭"
"Q51","","5000","أنتاركتيكا","অ্যান্টার্কটিকা","Antarktika","Antarctica","Antártida","Antarctique","Ανταρκτική","अंटार्कटिका","Antarktika","Antartika","Antartide","南極大陸","남극","Antarctica","Antarktyda","Antártida","Антарктида","Antarktis","Antarktika","Châu Nam Cực","南极洲"
"Q685","","561231","جزر سليمان","সলোমন দ্বীপপুঞ্জ","Salomonen","Solomon Islands","Islas Salomón","Îles Salomon","Νήσοι Σολομώντα","सोलोमन द्वीपसमूह","Salamon-szigetek","Kepulauan Solomon","Isole Salomone","ソロモン諸島","솔로몬 제도","Salomonseilanden","Wyspy Salomona","Ilhas Salomão","Соломоновы Острова","Salomonöarna","Solomon Adaları","Quần đảo Solomon","索羅門群島"
"Q686","","252763","فانواتو","ভানুয়াটু","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Βανουάτου","वानूआटू","Vanuatu","Vanuatu","Vanuatu","バヌアツ","바누아투","Vanuatu","Vanuatu","Vanuatu","Вануату","Vanuatu","Vanuatu","Vanuatu","萬那杜"
"Q77","","3407062","الأوروغواي","উরুগুয়ে","Uruguay","Uruguay","Uruguay","Uruguay","Ουρουγουάη","उरुग्वे","Uruguay","Uruguay","Uruguay","ウルグアイ","우루과이","Uruguay","Urugwaj","Uruguai","Уругвай","Uruguay","Uruguay","Uruguay","乌拉圭"
"Q691","","7321262","بابوا غينيا الجديدة","পাপুয়া নিউগিনি","Papua-Neuguinea","Papua New Guinea","Papúa Nueva Guinea","Papouasie-Nouvelle-Guinée","Παπούα Νέα Γουινέα","पापुआ न्यू गिनी","Pápua Új-Guinea","Papua Nugini","Papua Nuova Guinea","パプアニューギニア","파푸아뉴기니","Papoea-Nieuw-Guinea","Papua-Nowa Gwinea","Papua-Nova Guiné","Папуа-Новая Гвинея","Papua Nya Guinea","Papua Yeni Gine","Papua New Guinea","巴布亚新几内亚"
"Q79","","94798827","مصر","মিশর","Ägypten","Egypt","Egipto","Égypte","Αίγυπτος","मिस्र","Egyiptom","Mesir","Egitto","エジプト","이집트","Egypte","Egipt","Egito","Египет","Egypten","Mısır","Ai Cập","埃及"
"Q711","","3081678","منغوليا","মঙ্গোলিয়া","Mongolei","Mongolia","Mongolia","Mongolie","Μογγολία","मंगोलिया","Mongólia","Mongolia","Mongolia","モンゴル国","몽골","Mongolië","Mongolia","Mongólia","Монголия","Mongoliet","Moğolistan","Mông Cổ","蒙古国"
"Q717","","30405207","فنزويلا","ভেনেজুয়েলা","Venezuela","Venezuela","Venezuela","Venezuela","Βενεζουέλα","वेनेज़ुएला","Venezuela","Venezuela","Venezuela","ベネズエラ","베네수엘라","Venezuela","Wenezuela","Venezuela","Венесуэла","Venezuela","Venezuela","Venezuela","委內瑞拉"
"Q712","","881065","فيجي","ফিজি","Fidschi","Fiji","Fiyi","Fidji","Φίτζι","फ़िजी","Fidzsi-szigetek","Fiji","Figi","フィジー","피지","Fiji","Fidżi","Fiji","Фиджи","Fiji","Fiji","Fiji","斐濟"
"Q96","","130526945","المكسيك","মেক্সিকো","Mexiko","Mexico","México","Mexique","Μεξικό","मेक्सिको","Mexikó","Meksiko","Messico","メキシコ","멕시코","Mexico","Meksyk","México","Мексика","Mexiko","Meksika","México","墨西哥"
"Q114","","44353691","كينيا","কেনিয়া","Kenia","Kenya","Kenia","Kenya","Κένυα","कीनिया","Kenya","Kenya","Kenya","ケニア","케냐","Kenia","Kenia","Quénia","Кения","Kenya","Kenya","Kenya","肯尼亚"
"Q733","","6802295","باراغواي","প্যারাগুয়ে","Paraguay","Paraguay","Paraguay","Paraguay","Παραγουάη","पैराग्वे","Paraguay","Paraguay","Paraguay","パラグアイ","파라과이","Paraguay","Paragwaj","Paraguai","Парагвай","Paraguay","Paraguay","Paraguay","巴拉圭"
"Q730","","539276","سورينام","সুরিনাম","Suriname","Suriname","Surinam","Suriname","Σουρινάμ","सूरीनाम","Suriname","Suriname","Suriname","スリナム","수리남","Suriname","Surinam","Suriname","Суринам","Surinam","Surinam","Suriname","蘇利南"
"Q115","","96958732","إثيوبيا","ইথিওপিয়া","Äthiopien","Ethiopia","Etiopía","Éthiopie","Αιθιοπία","इथियोपिया","Etiópia","Ethiopia","Etiopia","エチオピア","에티오피아","Ethiopië","Etiopia","Etiópia","Эфиопия","Etiopien","Etiyopya","Ethiopia","埃塞俄比亚"
"Q142","","66628000","فرنسا","ফ্রান্স","Frankreich","France","Francia","France","Γαλλία","फ़्रान्स","Franciaország","Perancis","Francia","フランス","프랑스","Frankrijk","Francja","França","Франция","Frankrike","Fransa","Pháp","法国"
"Q117","","28308301","غانا","ঘানা","Ghana","Ghana","Ghana","Ghana","Γκάνα","घाना","Ghána","Ghana","Ghana","ガーナ","가나","Ghana","Ghana","Gana","Гана","Ghana","Gana","Ghana","迦納"
"Q734","","799613","غيانا","গায়ানা","Guyana","Guyana","Guyana","Guyana","Γουιάνα","गयाना","Guyana","Guyana","Guyana","ガイアナ","가이아나","Guyana","Gujana","Guiana","Гайана","Guyana","Guyana","Guyana","圭亚那"
"Q739","","47704427","كولومبيا","কলম্বিয়া","Kolumbien","Colombia","Colombia","Colombie","Κολομβία","कोलम्बिया","Kolumbia","Kolombia","Colombia","コロンビア","콜롬비아","Colombia","Kolumbia","Colômbia","Колумбия","Colombia","Kolombiya","Colombia","哥伦比亚"
"Q736","","15737878","الإكوادور","ইকুয়েডর","Ecuador","Ecuador","Ecuador","Équateur","Εκουαδόρ","ईक्वाडोर","Ecuador","Ekuador","Ecuador","エクアドル","에콰도르","Ecuador","Ekwador","Equador","Эквадор","Ecuador","Ekvador","Ecuador","厄瓜多尔"
"Q145","","65102385","المملكة المتحدة","যুক্তরাজ্য","Vereinigtes Königreich","United Kingdom","Reino Unido","Royaume-Uni","Ηνωμένο Βασίλειο","यूनाइटेड किंगडम","Egyesült Királyság","Britania Raya","Regno Unito","イギリス","영국","Verenigd Koninkrijk","Wielka Brytania","Reino Unido","Великобритания","Storbritannien","Birleşik Krallık","Vương quốc Liên hiệp Anh và Bắc Ireland","英国"
"Q822","","4467390","لبنان","লেবানন","Libanon","Lebanon","Líbano","Liban","Λίβανος","लेबनान","Libanon","Lebanon","Libano","レバノン","레바논","Libanon","Liban","Líbano","Ливан","Libanon","Lübnan","Liban","黎巴嫩"
